State/UTs,Total Vaccination Doses,Dose 1,Dose 2,Population
Andaman and Nicobar,624118,311046,313072,399001
Andhra Pradesh,84043879,40596914,43446965,91702478
Arunachal Pradesh,1576467,851479,724988,1711947
Assam,42130902,22470609,19660293,35998752
Bihar,116997161,62060111,54937050,128500364
Chandigarh,1989833,1086102,903731,1158040
Chhattisgarh,35836458,18693176,17143282,32199722
Dadra and Nagar Haveli and Daman and Diu,1313783,727305,586478,773997
Delhi,30381117,16492260,13888857,19301096
Goa,2558857,1349270,1209587,1521992
Gujarat,97449266,49173252,48276014,70400153
Haryana,40194002,21896657,18297345,28900667
Himachal Pradesh,11714543,6014888,5699655,7503010
Jammu and Kashmir,20123295,9930317,10192978,14999397
Jharkhand,36465011,21158905,15306106,40100376
Karnataka,98646532,49856747,48789785,69599762
Kerala,50506342,26961645,23544697,34698876
Ladakh,402228,218773,183455,290492
Lakshadweep,112063,56773,55290,66001
Madhya Pradesh,106980921,53932164,53048757,85002417
Maharashtra,153958201,84358055,69600146,124904071
Manipur,2616582,1447454,1169128,3436948
Meghalaya,2330226,1324555,1005671,3772103
Mizoram,1428976,780905,648071,1308967
Nagaland,1502881,833294,669587,2073074
Odisha,59927514,31200338,28727176,47099270
Puducherry,1554319,892623,661696,1646050
Punjab,40322736,22180522,18142214,30501026
Rajasthan,95514875,50865992,44648883,79502477
Sikkim,1041215,538261,502954,658019
Tamil Nadu,102131951,54996643,47135308,83697770
Telangana,57832105,29452703,28379402,38157311
Tripura,4894221,2644217,2250004,4184959
Uttar Pradesh,287827071,153151985,134675086,231502578
Uttarakhand,15936251,8140263,7795988,11700099
West Bengal,126778443,67031629,59746814,100896618
